Gas,"NFR/CRT Group",Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Carbon Dioxide as Carbon",1A1cii,"Upstream Oil Production - fuel combustion","Gas oil",kilotonne,408.257044415348,404.425089603982,484.779776627041,534.524478743829,566.70936455253,487.479021844571,504.525279073258,491.862087427832,492.238563818183,409.981764327274,368.757567114546,370.667809367727,376.999749441187,368.494302249589,342.724299953339,368.750201562285,328.168320117143,307.833571324052,357.771327590056,352.308463162286,389.546586450717,419.066855320181,487.419094477408,469.301892144617,486.823832882354,466.857004732208,467.702512863943,454.884659897295,420.105973568767,428.526455988325,415.625901716325,386.391119110565,323.576063512974,316.561888543866
"Carbon Dioxide as Carbon",1A1cii,"Upstream Oil Production - fuel combustion","Natural gas",kilotonne,2132.69750637371,2070.82696433086,2236.82140773157,2347.05159447303,2422.37083444803,2462.64489126104,2434.04950975312,2658.43922878704,2776.18432636363,2863.51346959983,2800.03311588073,2794.14524955409,2712.40837550367,2652.62122093223,2526.24011810725,2381.07427746665,2315.77330636363,2267.62704545454,2145.63542223518,2082.35154561063,2025.51481927092,1748.87340036654,1594.44911969415,1457.37175912438,1424.5539869324,1604.41548870273,1619.33578174257,1640.39958267211,1699.58126691818,1784.40864235908,1714.09511248909,1477.75623054546,1420.75076103818,1349.85788727272
"Carbon Dioxide as Carbon",1A1cii,"Oil terminal: fuel combustion","Gas oil",kilotonne,43.8896067602928,42.3092877562955,43.3745398256569,45.9147562987489,58.2163055182712,59.4174497531933,59.3848763502125,58.7033796847206,60.5249454545453,62.4101930181818,54.6190385454547,69.2031381818184,49.0507090909091,30.0932132727272,26.8633194545454,25.0212951147389,24.5291544744869,26.2324896501289,22.9469415683373,27.1195548876876,23.6524863027758,24.0599313966038,20.6748280533205,33.4035893878361,38.8198850148851,29.1567740606091,11.0489105367332,21.8517984731758,7.62046242643358,5.28754732116109,3.3272745140612,15.5687471747018,3.71421696821103,4.18536102613635
"Carbon Dioxide as Carbon",1A1cii,"Oil terminal: fuel combustion","Natural gas",kilotonne,212.322432350218,196.734533019111,178.735069819147,175.359486578499,216.766747823207,256.267625547711,233.279969815117,325.453307217771,359.089295454547,340.190032745691,335.51813698091,353.551530900001,352.770287570876,345.640249090909,324.508691460001,323.539110763638,282.256635553023,293.597978181817,296.120978729291,306.201072550454,273.627728459657,235.378425569184,208.881477132084,202.022009549999,182.219762124545,203.376503271819,220.289974011818,219.67219807909,216.471322903637,201.972544063637,202.593393591818,180.908271182727,187.337784766363,111.714533470909
"Carbon Dioxide as Carbon",1A1cii,"Gas terminal: fuel combustion","Gas oil",kilotonne,0.398834743268815,0.443506876978376,0.449041548909571,0.524537052064179,0.558647388245655,0.605494720530796,0.721150834423397,0.734492052353611,0.766725272727273,11.8412101090909,0.131629090909091,0.23103,0.284113636363636,0.480771,0.749413172727272,0.558951029388079,2.42277929947153,0.59355914927055,1.30701940938048,1.01892159886366,0.64416441979614,0.880545559929331,1.84392047870584,2.69450858219865,0.793012831225303,0.93500742407439,1.1210109079507,0.822436957054342,0.822123922821165,0.438460771495158,0.378224902327772,0.543241095369073,0.389009510125113,0.466153504631204
"Carbon Dioxide as Carbon",1A1cii,"Gas terminal: fuel combustion","Natural gas",kilotonne,182.662785346236,195.239705481039,175.179919489383,189.66013439691,196.928555193919,247.236734751381,268.194955788519,385.509944808866,430.656227727271,481.03758959929,592.169889414239,630.223796664815,584.578681981536,566.590846363637,541.437846475356,539.219492133479,429.691178217781,403.640005793982,441.165145807979,390.008126422258,398.98422037995,371.640232701275,371.579685521182,397.459527962728,403.702995758183,375.70603011,408.147549395453,387.948950790002,389.036228083637,386.299394705034,359.324864926363,328.251060409092,309.387857661817,288.514346200909
"Carbon Dioxide as Carbon",1A1cii,"Upstream Gas Production - fuel combustion","Gas oil",kilotonne,12.6989133864059,13.5961859898156,14.7584549011023,17.0879409185409,18.0635808001679,16.5820544342057,20.3137069592965,20.4586940562951,31.2045381818182,19.3213832727272,18.2224151869129,20.3878444573278,23.6283634036364,15.4708069090909,16.530835556707,17.9546341091078,19.2519968672347,18.13963166739,21.8757817920783,15.1666145808045,15.4380150220408,20.7699965924164,28.3745160416258,33.535730628401,37.4003979827834,55.0168147271928,41.0851000462785,35.3533961840234,39.5697195107308,46.5113948503768,45.1858509206191,55.5818100869929,35.5111536442897,41.2995654892157
"Carbon Dioxide as Carbon",1A1cii,"Upstream Gas Production - fuel combustion","Natural gas",kilotonne,485.257238545244,543.525498143535,579.821646710863,671.363910332102,582.029809178107,628.361564813501,740.101235209608,832.841197471911,880.572538363637,870.284944553734,940.546866198316,1154.99711951998,1132.36795654963,1073.61829118182,1109.87753294148,1036.43967655512,964.823968227272,874.050477272725,887.171211933658,904.166164826122,874.617439090909,785.496135602036,678.994966634212,739.532773636363,708.920097667055,714.549036485622,639.341712916438,624.719003997273,552.250889184546,579.46084504909,568.908631193012,440.795507181819,518.03441821091,484.707449999999
"Carbon Dioxide as Carbon",1A1ciii,"Collieries - combustion",Coal,kilotonne,79.2090003744,74.1514121152,52.49002543193,31.89267368016,14.66949492228,5.33436178992,5.2965294368,5.25869708368,3.4994926636,6.9280496651,8.39714718077051,7.04655776648001,6.32117338868697,4.26702374454115,5.64754656911505,4.05224967424987,2.67021905544942,3.24655392627962,3.7090465653258,3.3622110011864,3.403505512411,2.5910482622472,2.6253213874092,1.782202508424,0.4181321269764,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ciii,"Collieries - combustion","Colliery methane",kilotonne,39.5914249439931,31.01524090568,31.3676868250627,34.0110312204332,40.9424676349602,23.9075815314617,21.4992010823464,19.2670435929224,17.2698500497536,19.4432665526138,21.616683055474,36.7131166023674,35.3620739114003,49.3424287135818,43.762034990022,39.0374934254173,39.6368863401245,40.190029332824,43.2281046897199,42.4608733124424,49.6203676352867,41.0388796035728,32.5367425876596,25.9662145100803,22.9204205851947,20.7981594198989,26.3160384496679,24.0051992208273,23.1023286850772,21.3875416635181,17.3807125834397,17.6050659066281,18.5667533946736,10.8623390043169
